id	album_year	description	setting	light	people	framing	consent	quality_note	shared
a1-001	a1/2024	Forested parking area; five men on a dirt trail, a sedan parked, sun through the evergreens	bus-road	day	adults	wide	GREEN		
a1-002	a1/2024	Same parking area; men in discussion, one walks to the car; wooden structure through the trees	bus-road	day	adults	wide	GREEN	near-duplicate of a1-001	
a1-005	a1/2024	Six men in a clearing, two in camp chairs, loose semi-circle listening to someone off-camera	camp	day	adults	medium	GREEN	circle: confirm not a ceremony	
a1-008	a1/2024	Two young men walk toward camera on a cedar path carrying sleeping pads and bags	forest	day	young-men	medium	AMBER	faces toward camera	
a1-009	a1/2024	Group at a white folding table checking gear; men and one young young man; big green backpack	camp	day	mixed	medium	AMBER	verify whether the young man's face shows	
a1-011	a1/2024	Older man in a tan hat organises the top of a blue backpack at the table	camp	day	adults	close	GREEN		
a1-013	a1/2024	Deep grove, white tarps spread on the forest floor, people crouched setting up shelters	camp	day	unclear	wide	GREEN		
a1-014	a1/2024	Camp setup; man in a red cap foreground, two people tying a white tarp between trees	camp	day	adults	medium	GREEN		
a1-015	a1/2024	Looking up at the canopy, sun behind the branches, big lens flare, ferns and a fallen log	forest	day	none	wide	GREEN		
a1-016	a1/2024	High-angle completed campsite: many white tarps pitched, small figures tending gear	camp	day	mixed	wide	GREEN		
a1-018	a1/2024	Bald bearded man in a blue Hurley t-shirt, calm slight smile, rim-lit, ferns behind	forest	day	adults	medium	GREEN		
a1-021	a1/2024	Line of people at the clearing edge facing one way, waiting for instructions	field	day	unclear	medium	GREEN	verify faces are not toward camera	
a1-025	a1/2024	Rocky coastline at sunset, driftwood and stones, forested cliff right, calm water	beach	dusk	none	wide	GREEN	shared description with neighbour	shared
a1-026	a1/2024	Rocky coastline at sunset, driftwood and stones, forested cliff right, calm water	beach	dusk	none	wide	GREEN	shared description with neighbour	shared
a1-028	a1/2024	Two men (40s, 60s) beach selfie at twilight, driftwood, crescent moon, hazy mountains	beach	dusk	adults	close	GREEN	selfie-video frames; five near-identical; shared description with neighbour	shared
a1-029	a1/2024	Two men (40s, 60s) beach selfie at twilight, driftwood, crescent moon, hazy mountains	beach	dusk	adults	close	GREEN	selfie-video frames; five near-identical; shared description with neighbour	shared
a1-031	a1/2024	Two men (40s, 60s) beach selfie at twilight, driftwood, crescent moon, hazy mountains	beach	dusk	adults	close	GREEN	selfie-video frames; five near-identical; shared description with neighbour	shared
a1-032	a1/2024	Two men (40s, 60s) beach selfie at twilight, driftwood, crescent moon, hazy mountains	beach	dusk	adults	close	GREEN	selfie-video frames; five near-identical; shared description with neighbour	shared
a1-033	a1/2024	Two men (40s, 60s) beach selfie at twilight, driftwood, crescent moon, hazy mountains	beach	dusk	adults	close	GREEN	selfie-video frames; five near-identical; shared description with neighbour	shared
a1-038	a1/2024	Night: silhouettes around a bright campfire, one fire-lit figure addressing the group	fire	night	unclear	medium	GREEN	speaker addressing the group; silhouettes only	
a1-040	a1/2024	Night fire seen from a distance, two silhouettes from behind, last sliver of twilight	fire	night	unclear	wide	GREEN		
a1-041	a1/2024	High-angle night fire in the clearing, group huddled close, firelight on the trunks	fire	night	unclear	wide	GREEN		
a1-042	a1/2024	From behind a spectator: a man standing in the firelight speaking, audience faces lit	fire	night	mixed	medium	CEREMONY	fire-circle speaker, faces lit; three frames; shared description with neighbour	shared
a1-043	a1/2024	From behind a spectator: a man standing in the firelight speaking, audience faces lit	fire	night	mixed	medium	CEREMONY	fire-circle speaker, faces lit; three frames; shared description with neighbour	shared
a1-044	a1/2024	From behind a spectator: a man standing in the firelight speaking, audience faces lit	fire	night	mixed	medium	CEREMONY	fire-circle speaker, faces lit; three frames; shared description with neighbour	shared
a1-045	a1/2024	Path between two olive canvas wall tents into a sunny clearing where people stand	camp	day	unclear	wide	GREEN		
a1-046	a1/2024	Forest trail with sunbeams, a few people far down the trail beside gear	forest	day	unclear	wide	GREEN		
a1-047	a1/2024	Man in his 50s in a camp chair, grey brimmed hat and sunglasses, mossy shade	camp	day	adults	medium	GREEN		
a1-049	a1/2024	Man in his 60s in a bucket hat sits on a folding chair holding a tall branch; crate with red cloth	camp	day	adults	wide	GREEN		
a1-051	a1/2024	POV down a narrow forest trail, tunnel of evergreens, dappled needles, no people	forest	day	none	wide	GREEN		
a1-052	a1/2024	Man late 50s, shaved head, sits on a fallen log under a wooden gazebo, water bottle	camp	day	adults	medium	GREEN		
a1-054	a1/2024	Forest-floor detail: pine needles, twigs, small rocks in a warm beam of light	forest	day	none	detail	GREEN		
a1-055	a1/2024	Drum circle: ten people of various ages in folding chairs, five djembes, green tents behind	camp	day	unclear	wide	FLAG	clip a1-138 of this moment shows a young woman; looks like visitors/family day	
a1-056	a1/2024	Wider drum circle, group drumming together, open clearing under pines	camp	day	unclear	wide	FLAG	same moment as a1-055	
a1-057	a1/2024	Several teenage young men seated on a grassy slope looking left	field	day	young-men	medium	FLAG	same moment as a1-060 (teen girl present); looks like family day	
a1-060	a1/2024	Teenage girl in a blue cap on a log, focused; curly-haired young man beside her	field	day	mixed	close	FLAG	girl	
a1-061	a1/2024	Dutch angle: shirtless teen in red trunks in a blue inflatable pool beside a wooden building	camp	day	young-men	wide	AMBER		
a1-066	a1/2024	Same teen in the pool, frontal, looking straight at camera	camp	day	young-men	medium	AMBER		
a1-068	a1/2024	Low-angle tilt up to the evergreen canopy against a solid blue sky	forest	day	none	wide	GREEN	harsh light	
a1-071	a1/2024	Shirtless man early 40s speaks to camera, rocky beach behind, intense sun	beach	day	adults	close	GREEN	selfie-video frames; three near-identical; shared description with neighbour	shared
a1-072	a1/2024	Shirtless man early 40s speaks to camera, rocky beach behind, intense sun	beach	day	adults	close	GREEN	selfie-video frames; three near-identical; shared description with neighbour	shared
a1-074	a1/2024	Shirtless man early 40s speaks to camera, rocky beach behind, intense sun	beach	day	adults	close	GREEN	selfie-video frames; three near-identical; shared description with neighbour	shared
a1-077	a1/2024	Boxing pads: tall man holds pads, shorter person strikes; man with a staff behind; archery targets	field	day	mixed	medium	AMBER	the striker may be a young man; verify	
a1-078	a1/2024	Pad work continues, closer on the pad-holder and striker; bulls-eye target behind	field	day	mixed	medium	AMBER	verify	
a1-079	a1/2024	Group on the pine-needle floor; man in a hoodie reads a document, person in white sun hat seated	forest	day	mixed	medium	AMBER	verify who is seated	
a1-081	a1/2024	Rocky shoreline, sun-bleached driftwood, blue ocean to the horizon, cloudless	beach	day	none	wide	GREEN		
a1-082	a1/2024	Forest-to-beach transition, evergreens left, logs and grey gravel foreground	beach	day	none	wide	GREEN		
a1-083	a1/2024	Man in his 20s stands on a massive driftwood log looking out to sea; distant figures	beach	day	adults	wide	GREEN		
a1-084	a1/2024	Person in a white sun hat sits on a rock facing the sunlit ocean, heavy backlight flare	beach	day	unclear	medium	GREEN		
a1-085	a1/2024	Young person walks away toward mossy rocks and breaking waves; camera follows from behind	beach	day	young-men	medium	GREEN	back to camera	
a1-086	a1/2024	Man in his 20s faces the ocean as white water surges over mossy rocks	beach	day	adults	medium	GREEN		
a1-087	a1/2024	Man in cap, sunglasses and red bandana, three-quarter rear, arms crossed, staring at the water	beach	day	adults	close	GREEN		
a1-090	a1/2024	Over the shoulder of an archer drawing a black recurve bow at a target in the clearing	field	day	unclear	medium	GREEN	from behind	
a1-091	a1/2024	Older man in a beige bucket hat coaches from directly behind the archer, gesturing to the target	field	day	mixed	medium	GREEN	archer's back only	
a1-094	a1/2024	Archer in a black t-shirt at full draw in a wide clearing, several targets	field	day	unclear	wide	GREEN	verify the archer's face is not visible	
a1-095	a1/2024	From behind the archer releasing an arrow toward a row of four targets	field	day	unclear	medium	GREEN	from behind	
a1-096	a1/2024	Man early 20s from behind draws a recurve bow at three round targets	field	day	adults	medium	GREEN	from behind	
a1-097	a1/2024	Young man in profile at full draw, hand at his cheek, focused	field	day	young-men	close	AMBER	profile; looks under 12	
a1-102	a1/2024	Detail: tanned arm with a green wristband holding a black bow upright	field	day	unclear	detail	GREEN		
a1-105	a1/2024	Teen looks straight into the lens, low angle, sky and treetops behind; selfie	forest	day	young-men	close	AMBER		
a1-107	a1/2024	Mess-hall interior: man in a yellow polo serving roasted potatoes from foil trays	kitchen	day	adults	medium	GREEN	indoor, warm artificial light	
a1-108	a1/2024	Bald man in green, back to camera, looks down the slope at long white tables under green tents	camp	day	mixed	wide	GREEN		
a1-109	a1/2024	Top-down of a very long communal table in the forest, dozens eating; a young person waves at camera	camp	day	mixed	wide	AMBER	one face toward camera	
a1-110	a1/2024	The long dining table stretching into the forest, attendees eating, high angle	camp	day	mixed	wide	GREEN		
a1-113	a1/2024	Vertical: from the end of the long table looking down the line, a black dog mid-table	camp	day	mixed	wide	GREEN	vertical	
a1-114	a1/2024	Night coastline: moon path on calm water, driftwood foreground, stars, tree silhouettes	beach	night	none	wide	GREEN		
a1-118	a1/2024	Two men selfie, one bearded in a blue hoodie, one in grey sleeveless, forest	forest	day	adults	close	GREEN		
